kind,value,source
extension,depproj,github-linguist + curated
extension,desktop.in,github-linguist + curated
extension,dfm,github-linguist + curated
extension,dfy,github-linguist + curated
extension,dhall,github-linguist + curated
extension,di,github-linguist + curated
extension,dircolors,github-linguist + curated
extension,dita,github-linguist + curated
extension,ditamap,github-linguist + curated
extension,ditaval,github-linguist + curated
extension,djs,github-linguist + curated
extension,dll.config,github-linguist + curated
extension,dlm,github-linguist + curated
extension,dm,github-linguist + curated
extension,dof,github-linguist + curated
extension,doh,github-linguist + curated
extension,dotsettings,github-linguist + curated
extension,dpatch,github-linguist + curated
extension,druby,github-linguist + curated
extension,dsc,github-linguist + curated
extension,dsl,github-linguist + curated
extension,dsp,github-linguist + curated
extension,dsr,github-linguist + curated
extension,dtx,github-linguist + curated
extension,duby,github-linguist + curated
extension,dwl,github-linguist + curated
extension,dyalog,github-linguist + curated
extension,dyl,github-linguist + curated
extension,dzn,github-linguist + curated
extension,eam.fs,github-linguist + curated
extension,eb,github-linguist + curated
extension,ec,github-linguist + curated
extension,ecl,github-linguist + curated
extension,eclxml,github-linguist + curated
extension,ecr,github-linguist + curated
extension,ect,github-linguist + curated
extension,edc,github-linguist + curated
extension,edge,github-linguist + curated
extension,edgeql,github-linguist + curated
extension,eh,github-linguist + curated
extension,ejs,github-linguist + curated
extension,ejs.t,github-linguist + curated
extension,eliom,github-linguist + curated
extension,eliomi,github-linguist + curated
extension,elm,github-linguist + curated
extension,em,github-linguist + curated
extension,emacs,github-linguist + curated
extension,emacs.desktop,github-linguist + curated
extension,emberscript,github-linguist + curated
extension,env,github-linguist + curated
extension,epj,github-linguist + curated
extension,eps,github-linguist + curated
extension,epsi,github-linguist + curated
extension,eq,github-linguist + curated
extension,erb.deface,github-linguist + curated
extension,es,github-linguist + curated
extension,es6,github-linguist + curated
extension,escript,github-linguist + curated
extension,esdl,github-linguist + curated
extension,eye,github-linguist + curated
extension,f03,github-linguist + curated
extension,f08,github-linguist + curated
extension,f77,github-linguist + curated
extension,factor,github-linguist + curated
extension,fan,github-linguist + curated
extension,fancypack,github-linguist + curated
extension,filters,github-linguist + curated
extension,fir,github-linguist + curated
extension,flex,github-linguist + curated
extension,flf,github-linguist + curated
extension,flix,github-linguist + curated
extension,flux,github-linguist + curated
extension,fnl,github-linguist + curated
extension,forth,github-linguist + curated
extension,fr,github-linguist + curated
extension,frg,github-linguist + curated
extension,frm,github-linguist + curated
extension,frt,github-linguist + curated
extension,fsh,github-linguist + curated
extension,fshader,github-linguist + curated
extension,fsproj,github-linguist + curated
extension,fst,github-linguist + curated
extension,fsti,github-linguist + curated
extension,fth,github-linguist + curated
extension,ftl,github-linguist + curated
extension,ftlh,github-linguist + curated
extension,fun,github-linguist + curated
extension,fut,github-linguist + curated
extension,fxh,github-linguist + curated
extension,fxml,github-linguist + curated
extension,fy,github-linguist + curated
extension,g,github-linguist + curated
extension,g4,github-linguist + curated
extension,gaml,github-linguist + curated
extension,gap,github-linguist + curated
extension,gawk,github-linguist + curated
extension,gbl,github-linguist + curated
extension,gbo,github-linguist + curated
extension,gbp,github-linguist + curated
extension,gbr,github-linguist + curated
extension,gbs,github-linguist + curated
extension,gco,github-linguist + curated
extension,gcode,github-linguist + curated
extension,gdbinit,github-linguist + curated
extension,gdnlib,github-linguist + curated
extension,gdns,github-linguist + curated
extension,gdshader,github-linguist + curated
extension,gdshaderinc,github-linguist + curated
extension,ged,github-linguist + curated
extension,geo,github-linguist + curated
extension,geojson,github-linguist + curated
extension,gf,github-linguist + curated
extension,gi,github-linguist + curated
extension,gitconfig,github-linguist + curated
extension,gitignore,github-linguist + curated
extension,gjs,github-linguist + curated
extension,gko,github-linguist + curated
extension,glf,github-linguist + curated
extension,glslf,github-linguist + curated
extension,glslv,github-linguist + curated
extension,gltf,github-linguist + curated
extension,glyphs,github-linguist + curated
extension,gmi,github-linguist + curated
extension,gml,github-linguist + curated
extension,gms,github-linguist + curated
extension,gmx,github-linguist + curated
extension,gn,github-linguist + curated
extension,gni,github-linguist + curated
extension,gnu,github-linguist + curated
extension,gnuplot,github-linguist + curated
extension,god,github-linguist + curated
extension,gohtml,github-linguist + curated
extension,golo,github-linguist + curated
extension,gotmpl,github-linguist + curated
extension,gp,github-linguist + curated
extension,gpb,github-linguist + curated
extension,gpt,github-linguist + curated
extension,gpx,github-linguist + curated
extension,grace,github-linguist + curated
extension,gradle.kts,github-linguist + curated
extension,graphqls,github-linguist + curated
extension,grt,github-linguist + curated
extension,grxml,github-linguist + curated
extension,gs,github-linguist + curated
