kind,value,source
extension,svh,github-linguist + curated
extension,svx,github-linguist + curated
extension,sw,github-linguist + curated
extension,swg,github-linguist + curated
extension,swig,github-linguist + curated
extension,syntax,github-linguist + curated
extension,t,github-linguist + curated
extension,tab,github-linguist + curated
extension,tac,github-linguist + curated
extension,tact,github-linguist + curated
extension,tag,github-linguist + curated
extension,talon,github-linguist + curated
extension,targets,github-linguist + curated
extension,tcc,github-linguist + curated
extension,tcl.in,github-linguist + curated
extension,te,github-linguist + curated
extension,tea,github-linguist + curated
extension,templ,github-linguist + curated
extension,texi,github-linguist + curated
extension,texinfo,github-linguist + curated
extension,textgrid,github-linguist + curated
extension,textile,github-linguist + curated
extension,textproto,github-linguist + curated
extension,tfstate.backup,github-linguist + curated
extension,tftpl,github-linguist + curated
extension,thrift,github-linguist + curated
extension,thy,github-linguist + curated
extension,tl,github-linguist + curated
extension,tla,github-linguist + curated
extension,tlv,github-linguist + curated
extension,tm,github-linguist + curated
extension,tmac,github-linguist + curated
extension,tmcommand,github-linguist + curated
extension,tmdl,github-linguist + curated
extension,tml,github-linguist + curated
extension,tmlanguage,github-linguist + curated
extension,tmpl,github-linguist + curated
extension,tmpreferences,github-linguist + curated
extension,tmsnippet,github-linguist + curated
extension,tmtheme,github-linguist + curated
extension,tmux,github-linguist + curated
extension,toc,github-linguist + curated
extension,tofu,github-linguist + curated
extension,toit,github-linguist + curated
extension,toml.example,github-linguist + curated
extension,tool,github-linguist + curated
extension,topojson,github-linguist + curated
extension,tpp,github-linguist + curated
extension,tres,github-linguist + curated
extension,trigger,github-linguist + curated
extension,tscn,github-linguist + curated
extension,tsconfig.json,github-linguist + curated
extension,tsp,github-linguist + curated
extension,tst,github-linguist + curated
extension,tsv,github-linguist + curated
extension,tu,github-linguist + curated
extension,txi,github-linguist + curated
extension,txl,github-linguist + curated
extension,txx,github-linguist + curated
extension,typ,github-linguist + curated
extension,uc,github-linguist + curated
extension,udf,github-linguist + curated
extension,udo,github-linguist + curated
extension,ui,github-linguist + curated
extension,unity,github-linguist + curated
extension,uno,github-linguist + curated
extension,uplc,github-linguist + curated
extension,ur,github-linguist + curated
extension,urdf,github-linguist + curated
extension,url,github-linguist + curated
extension,urs,github-linguist + curated
extension,ux,github-linguist + curated
extension,vapi,github-linguist + curated
extension,vark,github-linguist + curated
extension,vba,github-linguist + curated
extension,vbhtml,github-linguist + curated
extension,vbproj,github-linguist + curated
extension,vcf,github-linguist + curated
extension,vcl,github-linguist + curated
extension,vcxproj,github-linguist + curated
extension,vdf,github-linguist + curated
extension,veo,github-linguist + curated
extension,vh,github-linguist + curated
extension,vhf,github-linguist + curated
extension,vhi,github-linguist + curated
extension,vho,github-linguist + curated
extension,vhost,github-linguist + curated
extension,vhs,github-linguist + curated
extension,vht,github-linguist + curated
extension,vhw,github-linguist + curated
extension,viw,github-linguist + curated
extension,vmb,github-linguist + curated
extension,volt,github-linguist + curated
extension,vrx,github-linguist + curated
extension,vsh,github-linguist + curated
extension,vshader,github-linguist + curated
extension,vsixmanifest,github-linguist + curated
extension,vssettings,github-linguist + curated
extension,vstemplate,github-linguist + curated
extension,vtl,github-linguist + curated
extension,vto,github-linguist + curated
extension,vtt,github-linguist + curated
extension,vw,github-linguist + curated
extension,vy,github-linguist + curated
extension,wast,github-linguist + curated
extension,watchr,github-linguist + curated
extension,webapp,github-linguist + curated
extension,webidl,github-linguist + curated
extension,weechatlog,github-linguist + curated
extension,wiki,github-linguist + curated
extension,wikitext,github-linguist + curated
extension,wisp,github-linguist + curated
extension,wit,github-linguist + curated
extension,wixproj,github-linguist + curated
extension,wl,github-linguist + curated
extension,wlk,github-linguist + curated
extension,wls,github-linguist + curated
extension,wlt,github-linguist + curated
extension,wlua,github-linguist + curated
extension,workbook,github-linguist + curated
extension,workflow,github-linguist + curated
extension,ws,github-linguist + curated
extension,wsf,github-linguist + curated
extension,wsgi,github-linguist + curated
extension,wxi,github-linguist + curated
extension,wxl,github-linguist + curated
extension,wxs,github-linguist + curated
extension,x,github-linguist + curated
extension,x10,github-linguist + curated
extension,x3d,github-linguist + curated
extension,x68,github-linguist + curated
extension,xacro,github-linguist + curated
extension,xbm,github-linguist + curated
extension,xc,github-linguist + curated
extension,xdc,github-linguist + curated
extension,xht,github-linguist + curated
extension,xi,github-linguist + curated
extension,xib,github-linguist + curated
extension,xlf,github-linguist + curated
extension,xliff,github-linguist + curated
extension,xm,github-linguist + curated
extension,xmi,github-linguist + curated
extension,xml.dist,github-linguist + curated
extension,xmp,github-linguist + curated
extension,xojo_code,github-linguist + curated
extension,xojo_menu,github-linguist + curated
extension,xojo_report,github-linguist + curated
extension,xojo_script,github-linguist + curated
extension,xojo_toolbar,github-linguist + curated
extension,xojo_window,github-linguist + curated
extension,xpl,github-linguist + curated
extension,xpm,github-linguist + curated
extension,xproc,github-linguist + curated
extension,xproj,github-linguist + curated
extension,xpy,github-linguist + curated
extension,xq,github-linguist + curated
extension,xql,github-linguist + curated
extension,xqm,github-linguist + curated
extension,xquery,github-linguist + curated
extension,xqy,github-linguist + curated
extension,xrl,github-linguist + curated
extension,xs,github-linguist + curated
extension,xsh,github-linguist + curated
extension,xsjs,github-linguist + curated
extension,xsjslib,github-linguist + curated
extension,xslt,github-linguist + curated
extension,xsp-config,github-linguist + curated
extension,xsp.metadata,github-linguist + curated
extension,xspec,github-linguist + curated
extension,xtend,github-linguist + curated
extension,xul,github-linguist + curated
extension,xzap,github-linguist + curated
extension,yacc,github-linguist + curated
extension,yaml-tmlanguage,github-linguist + curated
extension,yaml.sed,github-linguist + curated
extension,yap,github-linguist + curated
extension,yar,github-linguist + curated
extension,yara,github-linguist + curated
extension,yasnippet,github-linguist + curated
extension,yml.mysql,github-linguist + curated
extension,yrl,github-linguist + curated
extension,yul,github-linguist + curated
extension,yy,github-linguist + curated
extension,yyp,github-linguist + curated
extension,z3,github-linguist + curated
extension,zap,github-linguist + curated
extension,zcml,github-linguist + curated
extension,zeek,github-linguist + curated
extension,zep,github-linguist + curated
extension,zig.zon,github-linguist + curated
extension,zil,github-linguist + curated
extension,zimpl,github-linguist + curated
extension,zmodel,github-linguist + curated
extension,zmpl,github-linguist + curated
extension,zone,github-linguist + curated
extension,zpl,github-linguist + curated
extension,zs,github-linguist + curated
extension,zsh-theme,github-linguist + curated
filename,.abbrev_defs,github-linguist + curated
filename,.ackrc,github-linguist + curated
filename,.aider.conf.yaml,github-linguist + curated
filename,.aider.conf.yml,github-linguist + curated
filename,.all-contributorsrc,github-linguist + curated
filename,.arcconfig,github-linguist + curated
filename,.atomignore,github-linguist + curated
filename,.auto-changelog,github-linguist + curated
filename,.babelignore,github-linguist + curated
filename,.bash_aliases,github-linguist + curated
filename,.bash_functions,github-linguist + curated
filename,.bash_history,github-linguist + curated
filename,.buckconfig,github-linguist + curated
filename,.buildkite.yml,github-linguist + curated
filename,.bzrignore,github-linguist + curated
filename,.c8rc,github-linguist + curated
filename,.clangd,github-linguist + curated
filename,.classpath,github-linguist + curated
filename,.codeowners,github-linguist + curated
filename,.coffeelintignore,github-linguist + curated
filename,.cproject,github-linguist + curated
filename,.cshrc,github-linguist + curated
filename,.cvsignore,github-linguist + curated
filename,.devcontainer.json,github-linguist + curated
filename,.drone.yml,github-linguist + curated
filename,.dvcignore,github-linguist + curated
filename,.easignore,github-linguist + curated
filename,.eleventyignore,github-linguist + curated
filename,.emacs,github-linguist + curated
filename,.emacs.desktop,github-linguist + curated
filename,.env.dev,github-linguist + curated
filename,.env.development.local,github-linguist + curated
filename,.env.prod,github-linguist + curated
filename,.env.testing,github-linguist + curated
filename,.envrc,github-linguist + curated
filename,.exrc,github-linguist + curated
filename,.factor-boot-rc,github-linguist + curated
filename,.factor-rc,github-linguist + curated
filename,.flaskenv,github-linguist + curated
filename,.gclient,github-linguist + curated
filename,.git-blame-ignore-revs,github-linguist + curated
filename,.gitlab-ci.yml,github-linguist + curated
filename,.gn,github-linguist + curated
filename,.gnus,github-linguist + curated
filename,.gvimrc,github-linguist + curated
filename,.htmlhintrc,github-linguist + curated
filename,.ignore,github-linguist + curated
filename,.imgbotconfig,github-linguist + curated
filename,.jscsrc,github-linguist + curated
filename,.jshintrc,github-linguist + curated
filename,.jslintrc,github-linguist + curated
filename,.justfile,github-linguist + curated
filename,.kshrc,github-linguist + curated
filename,.latexmkrc,github-linguist + curated
filename,.luacheckrc,github-linguist + curated
filename,.markdownlintignore,github-linguist + curated
filename,.mise.local.toml,github-linguist + curated
filename,.mise.toml,github-linguist + curated
filename,.nanorc,github-linguist + curated
filename,.nodemonignore,github-linguist + curated
filename,.nvimrc,github-linguist + curated
filename,.oxlintrc.json,github-linguist + curated
filename,.parcelrc,github-linguist + curated
filename,.php,github-linguist + curated
filename,.php_cs,github-linguist + curated
filename,.php_cs.dist,github-linguist + curated
filename,.project,github-linguist + curated
filename,.rprofile,github-linguist + curated
filename,.rspec,github-linguist + curated
filename,.ruff.toml,github-linguist + curated
filename,.scalafix.conf,github-linguist + curated
filename,.scalafmt.conf,github-linguist + curated
filename,.simplecov,github-linguist + curated
filename,.spacemacs,github-linguist + curated
filename,.tern-config,github-linguist + curated
filename,.tern-project,github-linguist + curated
filename,.terraformrc,github-linguist + curated
filename,.tm_properties,github-linguist + curated
filename,.viper,github-linguist + curated
filename,.xcompose,github-linguist + curated
filename,.yardopts,github-linguist + curated
filename,.zlogin,github-linguist + curated
filename,.zlogout,github-linguist + curated
filename,9fs,github-linguist + curated
filename,_curlrc,github-linguist + curated
filename,_dir_colors,github-linguist + curated
filename,_dircolors,github-linguist + curated
filename,_emacs,github-linguist + curated
filename,_helpers.tpl,github-linguist + curated
filename,_redirects,github-linguist + curated
filename,_vimrc,github-linguist + curated
filename,abbrev_defs,github-linguist + curated
filename,accelerate_config.yaml,github-linguist + curated
filename,accelerate_config.yml,github-linguist + curated
filename,ack,github-linguist + curated
filename,ackrc,github-linguist + curated
filename,alembic.ini,github-linguist + curated
filename,android.bp,github-linguist + curated
filename,angular.json,github-linguist + curated
filename,ant.xml,github-linguist + curated
filename,apache2.conf,github-linguist + curated
filename,api-extractor.json,github-linguist + curated
filename,apkbuild,github-linguist + curated
filename,app.config,github-linguist + curated
filename,app.yaml,github-linguist + curated
filename,app.yml,github-linguist + curated
filename,appraisals,github-linguist + curated
filename,astro.config.cjs,github-linguist + curated
filename,astro.config.js,github-linguist + curated
filename,astro.config.mjs,github-linguist + curated
filename,astro.config.ts,github-linguist + curated
filename,azure-pipelines.yaml,github-linguist + curated
filename,azure-pipelines.yml,github-linguist + curated
filename,bash_aliases,github-linguist + curated
filename,bash_logout,github-linguist + curated
filename,bash_profile,github-linguist + curated
filename,bashrc,github-linguist + curated
filename,berksfile,github-linguist + curated
filename,bitbucket-pipelines.yml,github-linguist + curated
filename,browserslist,github-linguist + curated
filename,bsdmakefile,github-linguist + curated
filename,buck,github-linguist + curated
filename,build.gradle,github-linguist + curated
filename,build.gradle.kts,github-linguist + curated
filename,build.xml,github-linguist + curated
filename,buildfile,github-linguist + curated
filename,buildozer.spec,github-linguist + curated
filename,bun.lock,github-linguist + curated
filename,bunfig.toml,github-linguist + curated
filename,cabal.config,github-linguist + curated
filename,cabal.project,github-linguist + curated
filename,cakefile,github-linguist + curated
filename,cargo.toml.orig,github-linguist + curated
filename,cask,github-linguist + curated
filename,cdk.context.json,github-linguist + curated
filename,cdk.json,github-linguist + curated
filename,cdk.out,github-linguist + curated
filename,celeryconfig.py,github-linguist + curated
filename,chart.yaml,github-linguist + curated
filename,checksums.txt,github-linguist + curated
filename,citation,github-linguist + curated
filename,citation.cff,github-linguist + curated
filename,citations,github-linguist + curated
filename,cksums,github-linguist + curated
filename,click.me,github-linguist + curated
filename,cloudbuild.yaml,github-linguist + curated
filename,cloudbuild.yml,github-linguist + curated
filename,cmakepresets.json,github-linguist + curated
filename,cmakeuserpresets.json,github-linguist + curated
filename,commit_editmsg,github-linguist + curated
filename,conda-lock.yaml,github-linguist + curated
filename,conda-lock.yml,github-linguist + curated
filename,contents.lr,github-linguist + curated
filename,copying.regex,github-linguist + curated
filename,copyright.regex,github-linguist + curated
filename,cpanfile,github-linguist + curated
filename,crontab,github-linguist + curated
filename,cshrc,github-linguist + curated
filename,cypress.config.ts,github-linguist + curated
filename,dangerfile,github-linguist + curated
filename,delete.me,github-linguist + curated
filename,deno.json,github-linguist + curated
filename,deno.jsonc,github-linguist + curated
filename,deno.lock,github-linguist + curated
filename,deps,github-linguist + curated
filename,descrip.mmk,github-linguist + curated
filename,descrip.mms,github-linguist + curated
filename,dev-requirements.txt,github-linguist + curated
filename,devcontainer.json,github-linguist + curated
filename,dir_colors,github-linguist + curated
filename,directory.build.props,github-linguist + curated
filename,directory.build.targets,github-linguist + curated
filename,directory.packages.props,github-linguist + curated
filename,docker-bake.hcl,github-linguist + curated
filename,docker-bake.json,github-linguist + curated
filename,dune-project,github-linguist + curated
filename,dvc.lock,github-linguist + curated
filename,dvc.yaml,github-linguist + curated
filename,earthfile,github-linguist + curated
filename,emakefile,github-linguist + curated
filename,encodings.dir,github-linguist + curated
filename,environment.yaml,github-linguist + curated
filename,environment.yml,github-linguist + curated
filename,eqnrc,github-linguist + curated
filename,eslint.config.cts,github-linguist + curated
filename,eslint.config.mts,github-linguist + curated
filename,eslint.config.ts,github-linguist + curated
filename,expr-dist,github-linguist + curated
filename,fakefile,github-linguist + curated
filename,file_contexts,github-linguist + curated
filename,firestore.rules,github-linguist + curated
filename,flake.lock,github-linguist + curated
filename,fontlog,github-linguist + curated
filename,fonts.alias,github-linguist + curated
filename,fonts.dir,github-linguist + curated
filename,fonts.scale,github-linguist + curated
filename,fp-lib-table,github-linguist + curated
filename,gemfile.lock,github-linguist + curated
filename,genfs_contexts,github-linguist + curated
filename,gitignore-global,github-linguist + curated
filename,gitignore_global,github-linguist + curated
filename,glide.lock,github-linguist + curated
filename,global.json,github-linguist + curated
filename,gopkg.lock,github-linguist + curated
filename,gradle.properties,github-linguist + curated
filename,gradlew,github-linguist + curated
filename,gradlew.bat,github-linguist + curated
filename,gunicorn.conf.py,github-linguist + curated
filename,gvimrc,github-linguist + curated
filename,haproxy.cfg,github-linguist + curated
filename,hatch.toml,github-linguist + curated
filename,hosts,github-linguist + curated
filename,hosts.txt,github-linguist + curated
filename,httpd.conf,github-linguist + curated
filename,inference-config.json,github-linguist + curated
filename,initial_sids,github-linguist + curated
filename,inputrc,github-linguist + curated
filename,install,github-linguist + curated
filename,install.mysql,github-linguist + curated
filename,installscript.qs,github-linguist + curated
filename,ipython_config.py,github-linguist + curated
filename,jakefile,github-linguist + curated
filename,jarfile,github-linguist + curated
filename,jupyter_notebook_config.py,github-linguist + curated
filename,jupyter_server_config.py,github-linguist + curated
filename,kakrc,github-linguist + curated
filename,kbuild,github-linguist + curated
filename,kcl.mod,github-linguist + curated
filename,kcl.mod.lock,github-linguist + curated
filename,keep.me,github-linguist + curated
filename,kshrc,github-linguist + curated
filename,kustomization,github-linguist + curated
filename,kustomization.yaml,github-linguist + curated
filename,kustomization.yml,github-linguist + curated
filename,language-configuration.json,github-linguist + curated
filename,language-subtag-registry.txt,github-linguist + curated
filename,latexmkrc,github-linguist + curated
filename,ld.script,github-linguist + curated
filename,lexer.x,github-linguist + curated
filename,license.mysql,github-linguist + curated
filename,login,github-linguist + curated
filename,m3makefile,github-linguist + curated
filename,m3overrides,github-linguist + curated
filename,makefile.am,github-linguist + curated
filename,makefile.boot,github-linguist + curated
filename,makefile.frag,github-linguist + curated
filename,makefile.in,github-linguist + curated
filename,makefile.inc,github-linguist + curated
filename,makefile.pl,github-linguist + curated
filename,makefile.sco,github-linguist + curated
filename,makefile.wat,github-linguist + curated
filename,man,github-linguist + curated
filename,manage.py,github-linguist + curated
filename,manifest.mf,github-linguist + curated
filename,mavenfile,github-linguist + curated
filename,mcmod.info,github-linguist + curated
filename,md5sum.txt,github-linguist + curated
filename,md5sums,github-linguist + curated
filename,mix.lock,github-linguist + curated
filename,mkfile,github-linguist + curated
filename,mlmodel,github-linguist + curated
filename,mmn,github-linguist + curated
filename,mmt,github-linguist + curated
filename,mocha.opts,github-linguist + curated
filename,model-index.yaml,github-linguist + curated
filename,model-index.yml,github-linguist + curated
filename,module.bazel,github-linguist + curated
filename,module.bazel.lock,github-linguist + curated
filename,modulefile,github-linguist + curated
filename,mvnw,github-linguist + curated
filename,mvnw.cmd,github-linguist + curated
filename,nanorc,github-linguist + curated
filename,next.config.cts,github-linguist + curated
filename,next.config.mts,github-linguist + curated
filename,next.config.ts,github-linguist + curated
filename,nextflow.config,github-linguist + curated
filename,nginx.conf,github-linguist + curated
filename,nim.cfg,github-linguist + curated
filename,notebook,github-linguist + curated
filename,noxfile.py,github-linguist + curated
filename,nuget.config,github-linguist + curated
filename,nukefile,github-linguist + curated
filename,nuxt.config.mjs,github-linguist + curated
filename,nvimrc,github-linguist + curated
filename,nx.json,github-linguist + curated
filename,owh,github-linguist + curated
filename,package.mask,github-linguist + curated
filename,package.resolved,github-linguist + curated
filename,package.use.mask,github-linguist + curated
filename,package.use.stable.mask,github-linguist + curated
filename,packages.config,github-linguist + curated
filename,pdm.lock,github-linguist + curated
filename,phakefile,github-linguist + curated
filename,phpstan.neon,github-linguist + curated
filename,phpunit.xml,github-linguist + curated
filename,pipfile.lock,github-linguist + curated
filename,pixi.lock,github-linguist + curated
filename,pkgbuild,github-linguist + curated
filename,playwright.config.ts,github-linguist + curated
filename,pnpm-workspace.yaml,github-linguist + curated
filename,pnpm-workspace.yml,github-linguist + curated
filename,poetry.lock,github-linguist + curated
filename,pom.xml,github-linguist + curated
filename,port_contexts,github-linguist + curated
filename,postcss.config.mjs,github-linguist + curated
filename,postcss.config.ts,github-linguist + curated
filename,profile,github-linguist + curated
filename,project.ede,github-linguist + curated
filename,project.godot,github-linguist + curated
filename,project.json,github-linguist + curated
filename,promptfoo.yaml,github-linguist + curated
filename,promptfoo.yml,github-linguist + curated
filename,pulumi.dev.yaml,github-linguist + curated
filename,pulumi.prod.yaml,github-linguist + curated
filename,pulumi.production.yaml,github-linguist + curated
filename,pulumi.staging.yaml,github-linguist + curated
filename,pulumi.yaml,github-linguist + curated
filename,pulumi.yml,github-linguist + curated
filename,puppetfile,github-linguist + curated
filename,pylintrc,github-linguist + curated
filename,pyrightconfig.json,github-linguist + curated
filename,read.me,github-linguist + curated
filename,readme.1st,github-linguist + curated
filename,readme.me,github-linguist + curated
filename,readme.mysql,github-linguist + curated
filename,readme.nss,github-linguist + curated
filename,rebar.config,github-linguist + curated
filename,rebar.config.lock,github-linguist + curated
filename,rebar.lock,github-linguist + curated
filename,rector.php,github-linguist + curated
filename,requirements.lock.txt,github-linguist + curated
filename,rexfile,github-linguist + curated
filename,riemann.config,github-linguist + curated
filename,robots.txt,github-linguist + curated
filename,rollup.config.cjs,github-linguist + curated
filename,rollup.config.mjs,github-linguist + curated
filename,rollup.config.ts,github-linguist + curated
filename,root,github-linguist + curated
filename,ruff.toml,github-linguist + curated
filename,samconfig.toml,github-linguist + curated
filename,sconscript,github-linguist + curated
filename,security_classes,github-linguist + curated
filename,serverless.ts,github-linguist + curated
filename,serverless.yaml,github-linguist + curated
filename,serverless.yml,github-linguist + curated
filename,settings.gradle,github-linguist + curated
filename,settings.gradle.kts,github-linguist + curated
filename,settings.stylecop,github-linguist + curated
filename,sha1sums,github-linguist + curated
filename,sha256sums,github-linguist + curated
filename,sha256sums.txt,github-linguist + curated
filename,sha512sums,github-linguist + curated
filename,singularity,github-linguist + curated
filename,skaffold.yaml,github-linguist + curated
filename,skaffold.yml,github-linguist + curated
filename,slakefile,github-linguist + curated
filename,snakefile,github-linguist + curated
filename,ssh-config,github-linguist + curated
filename,ssh_config,github-linguist + curated
filename,sshconfig,github-linguist + curated
filename,sshconfig.snip,github-linguist + curated
filename,sshd-config,github-linguist + curated
filename,sshd_config,github-linguist + curated
filename,starfield,github-linguist + curated
filename,steepfile,github-linguist + curated
filename,suite.rc,github-linguist + curated
filename,svelte.config.js,github-linguist + curated
filename,svelte.config.ts,github-linguist + curated
filename,tailwind.config.mjs,github-linguist + curated
filename,template.yaml,github-linguist + curated
filename,template.yml,github-linguist + curated
filename,terraform.rc,github-linguist + curated
filename,terraform.tfvars,github-linguist + curated
filename,terraform.tfvars.json,github-linguist + curated
filename,terragrunt.hcl,github-linguist + curated
filename,terragrunt.hcl.json,github-linguist + curated
filename,test.me,github-linguist + curated
filename,tiltfile,github-linguist + curated
filename,tmux.conf,github-linguist + curated
filename,toolchain_installscript.qs,github-linguist + curated
filename,torrc,github-linguist + curated
filename,troffrc,github-linguist + curated
filename,troffrc-end,github-linguist + curated
filename,tslint.json,github-linguist + curated
filename,tsup.config.ts,github-linguist + curated
filename,turbo.json,github-linguist + curated
filename,unocss.config.ts,github-linguist + curated
filename,use.mask,github-linguist + curated
filename,use.stable.mask,github-linguist + curated
filename,uv.lock,github-linguist + curated
filename,uwsgi.ini,github-linguist + curated
filename,values.schema.json,github-linguist + curated
filename,values.yaml,github-linguist + curated
filename,vimrc,github-linguist + curated
filename,vite.config.cts,github-linguist + curated
filename,vite.config.mts,github-linguist + curated
filename,vitest.workspace.ts,github-linguist + curated
filename,vlcrc,github-linguist + curated
filename,web.config,github-linguist + curated
filename,web.debug.config,github-linguist + curated
filename,web.release.config,github-linguist + curated
filename,webpack.config.cts,github-linguist + curated
filename,webpack.config.mjs,github-linguist + curated
filename,webpack.config.mts,github-linguist + curated
filename,windi.config.ts,github-linguist + curated
filename,workspace.bzlmod,github-linguist + curated
filename,workspace.json,github-linguist + curated
filename,wscript,github-linguist + curated
filename,xcompose,github-linguist + curated
filename,xinitrc,github-linguist + curated
filename,xmake.lua,github-linguist + curated
filename,xsession,github-linguist + curated
filename,yarn.lock,github-linguist + curated
filename,zlogin,github-linguist + curated
filename,zlogout,github-linguist + curated
filename,zprofile,github-linguist + curated
filename,zshenv,github-linguist + curated
filename,zshrc,github-linguist + curated
